,strategy_nav,hs300_nav,equal_weight_nav
2014-12-22,1399975.0113558355,1461890.2832927078,1229108.8484323437
2014-12-23,1370709.0352074446,1431933.0915856303,1210858.4766871203
2014-12-24,1321191.740134646,1391222.1466162507,1205484.7949664192
2014-12-25,1368495.7410750168,1436455.0943591255,1222818.0312660297
2014-12-26,1421641.9701678143,1484009.336859061,1237327.4988191435
2014-12-29,1428482.8502038023,1488152.3527334442,1232464.3507049938
2014-12-30,1440994.1506796887,1489052.4466188352,1223437.3354865604
2014-12-31,1473406.5398756457,1521852.0400692525,1233270.8086975953
2015-01-02,1473406.5398756457,,1233053.0594826073
2015-01-05,1472227.814643745,1568290.8552183928,1228779.8555387117
2015-01-06,1454751.6147320028,1568084.1350916044,1236976.9327845331
2015-01-07,1456909.751502113,1569259.8558127128,1239036.1532808084
2015-01-08,1418692.5531974426,1532855.5801514238,1233592.4121844524
2015-01-09,1419218.6491985435,1527455.0168390784,1230994.2832425686
2015-01-12,1405635.7653554115,1513182.7147520664,1224048.980637088
2015-01-13,1401301.7541718713,1513380.8215402386,1229078.7515104732
2015-01-14,1400758.8061855508,1508376.4718042377,1224985.1455495183
2015-01-15,1448362.2096564348,1552175.2986675182,1236070.5143488145
2015-01-16,1460136.6559879077,1565538.8935305232,1252414.4776290487
2015-01-19,1337081.9861301528,1444956.4595732968,1213996.1871727367
2015-01-20,1343466.0798806476,1462639.6437523165,1231871.0643587932
2015-01-21,1411588.9082669814,1528389.5640789345,1260354.6499388306
2015-01-22,1420087.242869666,1536451.64902368,1269406.3268199374
2015-01-23,1393006.1111219262,1538225.9967786132,1264802.3895565504
2015-01-26,1423601.1647120134,1553841.9796897492,1276315.4627757424
2015-01-27,1430921.7908713224,1539604.130957202,1268145.4176891367
2015-01-28,1423776.4311761823,1518238.7445197653,1259251.8042817886
2015-01-29,1413716.1166879125,1499496.1196909554,1253303.119697814
2015-01-30,1392632.7408347453,1479078.200501298,1238165.9418335971
2015-02-02,1398227.5346966507,1444439.6592563263,1233660.960922682
2015-02-03,1433200.5454477454,1480396.041309574,1254192.9618577946
2015-02-04,1435865.5805972312,1465029.8452183069,1247977.1179845124
2015-02-05,1442713.2953649592,1450034.0226875357,1246909.435384832
2015-02-06,1411311.220819049,1426549.7549505183,1230677.8673359172
2015-02-09,1396657.6842160963,1440977.0971326216,1227175.1683452418
2015-02-10,1421261.8233659205,1467256.39325059,1243451.7271473126
2015-02-11,1441218.4169387263,1478961.92042998,1250293.9325563621
2015-02-12,1454028.5420394542,1482730.2560745592,1255335.6101631455
2015-02-13,1481085.555639479,1494341.036529171,1267345.9079614216
2015-02-16,1525738.204922849,1507110.3110276593,1279262.290112818
2015-02-17,1531276.9349221513,1516946.7437273383,1283261.6802379787
2015-02-18,1531276.9349221513,,1283384.347503634
2015-02-19,1530051.9133742135,,1283860.3718244494
2015-02-20,1540147.230362352,,1285554.5597547784
2015-02-23,1541029.9064959236,,1285701.9129825647
2015-02-24,1543422.20369219,,1286101.0981078758
2015-02-25,1541021.2090332904,1498173.972213372,1285700.9584882727
2015-02-26,1542567.0530798477,1535883.1686750124,1298559.6213681337
2015-02-27,1549411.0819116472,1538704.0370718117,1303950.4627411645
2015-03-02,1575873.0983021108,1550943.5912454051,1319711.946231005
2015-03-03,1567777.4005123894,1510736.5265850718,1304890.6675258381
2015-03-04,1579295.7751927064,1520607.4126392156,1312313.6466253311
2015-03-05,1584735.1879783538,1505758.0168649193,1308480.3044340378
2015-03-06,1562258.4069984157,1498083.532157902,1296514.9409703028
2015-03-09,1584313.3778544746,1523591.9344697222,1310211.353299903
2015-03-10,1604802.9928688088,1516210.303275655,1308177.8296688076
2015-03-11,1603046.308367073,1517950.1976761236,1307480.2991442457
2015-03-12,1597200.6701710715,1547317.3756879927,1317555.5711156058
2015-03-13,1620395.603770694,1558006.5289106732,1324996.4337143141
