date,open,high,low,close,volume,amount
2020-03-26,2501.29,2637.01,2500.72,2630.0701,4340887034,11144200000000
2020-03-27,2555.8701,2615.9099,2520.02,2541.47,3590712059,9186180000000
2020-03-30,2558.98,2631.8,2545.28,2626.6499,3370871942,8732840000000
2020-03-31,2614.6899,2641.3899,2571.1499,2584.5901,3991878975,10390700000000
2020-04-01,2498.0801,2522.75,2447.49,2470.5,3666502398,9110180000000
2020-04-02,2458.54,2533.22,2455.79,2526.8999,3870184448,9650740000000
2020-04-03,2514.9199,2538.1799,2459.96,2488.6499,3593003494,8984040000000
2020-04-06,2578.28,2676.8501,2574.5701,2663.6799,4022970312,10553600000000
2020-04-07,2738.6499,2756.8899,2657.6699,2659.4099,4218972836,11404500000000
2020-04-08,2685.0,2760.75,2663.3,2749.98,3343867617,9077790000000
2020-04-09,2776.99,2818.5701,2762.3601,2789.8201,4359302597,12149100000000
2020-04-13,2782.46,2782.46,2721.1699,2761.6299,2900380791,8010650000000
2020-04-14,2805.1001,2851.8501,2805.1001,2846.0601,3113388741,8801640000000
2020-04-15,2795.6399,2801.8799,2761.54,2783.3601,3123468178,8700750000000
2020-04-16,2799.3401,2806.51,2764.3201,2799.55,3185793737,8896110000000
2020-04-17,2842.4299,2879.22,2830.8799,2874.5601,3554592893,10154700000000
2020-04-20,2845.6201,2868.98,2820.4299,2823.1599,2935031893,8334160000000
2020-04-21,2784.8101,2785.54,2727.1001,2736.5601,3096009723,8540350000000
2020-04-22,2787.8899,2815.1001,2775.95,2799.3101,2779868449,7768520000000
2020-04-23,2810.4199,2844.8999,2794.26,2797.8,2919383742,8208850000000
2020-04-24,2812.6399,2842.71,2791.76,2836.74,2882793416,8132250000000
2020-04-27,2854.6499,2887.72,2852.8899,2878.48,2795944244,8019980000000
2020-04-28,2909.96,2921.1499,2860.71,2863.3899,3237748798,9353220000000
2020-04-29,2918.46,2954.8601,2912.1599,2939.51,3862944848,11323200000000
2020-04-30,2930.9099,2930.9099,2892.47,2912.4299,3721235517,10853700000000
2020-05-01,2869.0901,2869.0901,2821.6101,2830.71,2914265069,8298730000000
2020-05-04,2815.01,2844.24,2797.8501,2842.74,2877617866,8129160000000
2020-05-05,2868.8799,2898.23,2863.55,2868.4399,2974283010,8550390000000
2020-05-06,2883.1399,2891.1101,2847.6499,2848.4199,2855444097,8188210000000
2020-05-07,2878.26,2901.9199,2876.48,2881.1899,2831489254,8167320000000
2020-05-08,2908.8301,2932.1599,2902.8799,2929.8,2617877855,7640060000000
2020-05-11,2915.46,2944.25,2903.4399,2930.3201,2609806690,7629420000000
2020-05-12,2939.5,2945.8201,2869.5901,2870.1201,2668655086,7755800000000
2020-05-13,2865.8601,2874.1399,2793.1499,2820.0,3551451164,10080000000000
2020-05-14,2794.54,2852.8,2766.6399,2852.5,3348510295,9431480000000
2020-05-15,2829.95,2865.01,2816.78,2863.7,3306748591,9403930000000
2020-05-18,2913.8601,2968.0901,2913.8601,2953.9099,3642081510,10698400000000
2020-05-19,2948.5901,2964.21,2922.3501,2922.9399,2858250798,8401890000000
2020-05-20,2953.6299,2980.29,2953.6299,2971.6101,2849677238,8448690000000
2020-05-21,2969.95,2978.5,2938.5701,2948.51,2780244068,8226420000000
2020-05-22,2948.05,2956.76,2933.5901,2955.45,2185305113,6443290000000
2020-05-26,3004.0801,3021.72,2988.1699,2991.77,3355998857,10072800000000
2020-05-27,3015.6499,3036.25,2969.75,3036.1299,3661742868,11038100000000
2020-05-28,3046.6101,3068.6699,3023.3999,3029.73,3140297035,9553110000000
2020-05-29,3025.1699,3049.1699,2998.6101,3044.3101,4381828887,13273900000000
2020-06-01,3038.78,3062.1799,3031.54,3055.73,2501351434,7621760000000
