date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2017-11-27,6269.23,6194.55,6279.59,6186.03,59407491,78092824576.0,1.49,-1.33,-83.48,0.53
2017-11-28,6188.09,6299.31,6299.31,6188.09,56478234,71418773504.0,1.8,1.69,104.76,0.5
2017-11-29,6293.25,6318.37,6329.18,6245.06,76563914,94409003008.0,1.34,0.3,19.06,0.68
2017-11-30,6303.92,6263.42,6322.04,6248.18,60883356,77704183808.0,1.17,-0.87,-54.95,0.54
2017-12-01,6259.96,6316.41,6323.84,6256.23,54746281,72064724992.0,1.08,0.85,52.99,0.49
2017-12-04,6311.22,6279.62,6334.87,6272.67,60188170,79301554176.0,0.98,-0.58,-36.79,0.54
2017-12-05,6265.79,6132.91,6279.39,6099.41,69690232,87408926720.0,2.87,-2.34,-146.71,0.62
2017-12-06,6116.16,6172.8,6173.35,6053.24,60267213,74993647616.0,1.96,0.65,39.89,0.54
2017-12-07,6156.35,6135.47,6182.75,6130.83,53097971,69245091840.0,0.84,-0.6,-37.33,0.47
2017-12-08,6128.12,6203.14,6217.57,6126.38,55579244,72390389760.0,1.49,1.1,67.67,0.5
2017-12-11,6214.64,6286.17,6286.5,6214.64,61112906,77392023552.0,1.16,1.34,83.03,0.55
2017-12-12,6281.14,6233.21,6290.85,6233.21,56614397,73964806144.0,0.92,-0.84,-52.96,0.51
2017-12-13,6224.78,6277.44,6277.73,6217.79,50352000,64676017664.0,0.96,0.71,44.23,0.45
2017-12-14,6273.61,6284.08,6288.5,6247.68,55759240,72497811456.0,0.65,0.11,6.64,0.5
2017-12-15,6274.1,6235.76,6278.93,6214.65,61938112,77690466304.0,1.02,-0.77,-48.32,0.55
2017-12-18,6229.74,6199.99,6247.59,6179.03,53772191,67137249280.0,1.1,-0.57,-35.77,0.48
2017-12-19,6200.93,6251.24,6251.49,6200.71,52639309,65186684928.0,0.82,0.83,51.25,0.47
2017-12-20,6244.06,6199.36,6246.91,6188.32,57814533,69446004736.0,0.94,-0.83,-51.88,0.52
2017-12-21,6191.78,6238.5,6255.84,6148.82,59245860,73900048384.0,1.73,0.63,39.14,0.53
2017-12-22,6236.23,6242.88,6269.31,6235.23,55010644,70736576512.0,0.55,0.07,4.38,0.49
2017-12-25,6244.86,6185.59,6257.02,6170.68,61264712,75604344832.0,1.38,-0.92,-57.29,0.55
2017-12-26,6179.56,6220.15,6220.5,6148.1,57671657,69117513728.0,1.17,0.56,34.56,0.52
2017-12-27,6213.24,6173.15,6228.88,6168.13,64197530,78009655296.0,0.98,-0.76,-47.0,0.57
2017-12-28,6163.96,6204.27,6219.54,6157.11,65877542,78010228736.0,1.01,0.5,31.12,0.59
2017-12-29,6201.46,6250.82,6250.82,6201.46,57165632,71841804288.0,0.8,0.75,46.55,0.51
2018-01-02,6263.15,6332.23,6332.61,6258.16,73032236,88153985024.0,1.19,1.3,81.41,0.65
2018-01-03,6331.72,6388.25,6391.98,6324.26,83936745,103454687232.0,1.07,0.88,56.02,0.75
2018-01-04,6380.27,6417.54,6418.26,6375.51,80543690,102929657856.0,0.67,0.46,29.29,0.72
2018-01-05,6414.77,6417.25,6435.85,6397.29,81581018,97642299392.0,0.6,0.0,-0.29,0.73
2018-01-08,6413.87,6446.18,6446.79,6393.88,89476928,106389590016.0,0.82,0.45,28.93,0.8
2018-01-09,6441.68,6445.75,6449.03,6425.03,75573217,92837781504.0,0.37,-0.01,-0.43,0.68
2018-01-10,6443.46,6405.94,6444.31,6361.09,80966973,98938306560.0,1.29,-0.62,-39.81,0.72
2018-01-11,6391.9,6425.94,6432.44,6371.54,78770071,91569209344.0,0.95,0.31,20.0,0.7
2018-01-12,6418.83,6399.37,6435.19,6387.78,77834557,89777057792.0,0.74,-0.41,-26.57,0.7
2018-01-15,6391.37,6253.38,6392.52,6236.56,91474033,110512922624.0,2.44,-2.28,-145.99,0.82
2018-01-16,6245.15,6301.13,6301.4,6245.11,79169733,96364863488.0,0.9,0.76,47.75,0.71
2018-01-17,6288.02,6267.46,6288.14,6202.32,84195502,99694460928.0,1.36,-0.53,-33.67,0.75
2018-01-18,6253.06,6286.8,6295.78,6253.06,65015293,76896813056.0,0.68,0.31,19.34,0.58
2018-01-19,6284.6,6272.38,6317.0,6261.24,71806743,84263165952.0,0.89,-0.23,-14.42,0.64
2018-01-22,6264.76,6347.64,6347.81,6248.31,72761170,85475483648.0,1.59,1.2,75.26,0.65
2018-01-23,6342.69,6355.0,6362.58,6330.46,66753887,80539656192.0,0.51,0.12,7.36,0.6
2018-01-24,6353.3,6394.3,6395.57,6322.92,77347727,94754082816.0,1.14,0.62,39.3,0.69
